taxon_id,taxon,log2_fc,clr_difference,mean_rel_non_ebf,mean_rel_ebf,prevalence_non_ebf,prevalence_ebf,p_raw_dacomp (1e+03),p_raw_dacomp (1e+04),p_raw_dacomp (1e+05),p_raw_dacomp (1e+06),p_raw_dacomp (1e+07),p_raw_dacomp + permApprox(U) (1e+03),p_raw_dacomp + permApprox(C) (1e+03),p_adj_dacomp (1e+03),p_adj_dacomp (1e+04),p_adj_dacomp (1e+05),p_adj_dacomp (1e+06),p_adj_dacomp (1e+07),p_adj_dacomp + permApprox(U) (1e+03),p_adj_dacomp + permApprox(C) (1e+03)
Intestinibacter,Intestinibacter,-2.518280445717382,-1.62253752102716,0.005931049450590347,0.0010344444653685686,0.7262569832402235,0.5653333333333334,9.99000999000999e-4,9.999000099990002e-5,9.99990000099999e-6,9.99999000001e-7,9.9999990000001e-8,9.021751202202936e-16,9.02174953718701e-16,0.006771006771006771,7.124287571242876e-4,6.999930000699992e-5,8.7999912000088e-6,9.799999020000097e-7,3.097467912756342e-14,3.097467341100874e-14
Clostridioides,Clostridioides,-1.6687598609042664,-0.16881335893266558,9.324932253497497e-4,2.926056419715692e-4,0.12290502793296089,0.072,0.12487512487512488,0.38276172382761725,0.04017959820401796,0.017142982857017142,0.024645397535460245,0.12487512487512488,0.12487512487512488,1,1,0.10432441130134153,0.06273682615206273,0.09721504027849598,0.34762534762534764,0.34762534762534764
Peptostreptococcus,Peptostreptococcus,-2.6711256570830795,0.013068460601919019,9.817661359692589e-5,1.4571137157425535e-5,0.027932960893854747,0.005333333333333333,0.1088911088911089,0.32316768323167683,0.3240267597324027,0.1040918959081041,0.3227532677246732,0.1088911088911089,0.1088911088911089,1,1,1,1,1,0.3298760063465946,0.3298760063465946
Romboutsia,Romboutsia,-2.2659852496652078,-8.924470677972307e-4,0.0014342082957929817,2.9739078441553803e-4,0.4581005586592179,0.456,0.8661338661338661,0.24797520247975202,0.46264537354626456,0.22877777122222878,0.07644339235566076,0.8661338661338661,0.8661338661338661,1,1,1,1,0.18986910681954092,1,1
Solobacterium,Solobacterium,-2.654978141506368,-0.032644094552461644,3.557762002775942e-5,4.807475491433136e-6,0.061452513966480445,0.008,NA,NA,NA,NA,0.3229518677048132,NA,NA,1,1,1,1,1,NA,NA
Holdemanella,Holdemanella,-4.542779557728978,-0.05693505639432528,0.002664611143706288,1.1336256429175857e-4,0.08379888268156424,0.08,0.5094905094905094,0.0680931906809319,0.07129928700712992,0.18273481726518273,0.11623118837688116,0.5094905094905094,0.5094905094905094,1,0.16891748325167483,0.1459957195299842,1,1,0.7971095571095571,0.7971095571095571
Faecalicoccus,Faecalicoccus,-6.976655807800743,-0.03726991247577516,8.856211017052139e-4,6.0397201630886856e-6,0.0335195530726257,0.008,0.1048951048951049,0.0542945705429457,0.03369966300336997,0.1745908254091746,0.033441696655830334,0.1048951048951049,0.1048951048951049,1,0.14722665664468038,0.0930690693093069,1,0.1109307369069263,0.3298760063465946,0.3298760063465946
Faecalitalea,Faecalitalea,-7.222695342276023,-0.009654904431237177,0.002736782280270263,1.7329514453812225e-5,0.027932960893854747,0.021333333333333333,0.03196803196803197,0.0332966703329667,0.03271967280327197,0.03349296650703349,0.03332649666735033,0.03196803196803197,0.03196803196803197,0.12497026782741068,0.10989335849023794,0.0866348479372349,0.10621506045160621,0.1109307369069263,0.15679558536701396,0.15679558536701396
[Clostridium]_innocuum_group,[Clostridium]_innocuum_group,-3.2304598716807726,-0.7691717753479548,0.008187734851604492,8.714719793245367e-4,0.4692737430167598,0.3973333333333333,9.99000999000999e-4,9.999000099990002e-5,9.99990000099999e-6,4.999995000005e-6,1.4599998540000147e-5,1.916173713124054e-8,1.9161742898398875e-8,0.006771006771006771,7.124287571242876e-4,6.999930000699992e-5,3.2999967000033e-5,1.0901427481285824e-4,3.947317849035552e-7,3.947319037070169e-7
Coprobacillus,Coprobacillus,-9.942139500183481,-0.08222451595996239,9.827442584132296e-4,0,0.03910614525139665,0,0.005994005994005994,0.0029997000299970002,0.01048989510104899,0.003323996676003324,0.033371096662890336,0.005994005994005994,0.005994005994005994,0.03135326212249289,0.014544699376216226,0.03931127355393113,0.018144618219018145,0.1109307369069263,0.05483446052270642,0.05483446052270642
