SampleID,group,taxon_id,rarefied_count,taxon,taxon_plot
s023972,non-EBF,Lactococcus,0,Lactococcus,Lactococcus
s023972,non-EBF,Streptococcus,53,Streptococcus,Streptococcus
s023972,non-EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s023972,non-EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s024476,EBF,Bifidobacterium,61,Bifidobacterium,Bifidobacterium
s024476,EBF,Blautia,1,Blautia,Blautia
s024476,EBF,Enterococcus,30,Enterococcus,Enterococcus
s024476,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s024476,EBF,Lactococcus,0,Lactococcus,Lactococcus
s024476,EBF,Streptococcus,7,Streptococcus,Streptococcus
s024476,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s024476,EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s029469,non-EBF,Bifidobacterium,58,Bifidobacterium,Bifidobacterium
s029469,non-EBF,Blautia,1,Blautia,Blautia
s029469,non-EBF,Enterococcus,2,Enterococcus,Enterococcus
s029469,non-EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s029469,non-EBF,Lactococcus,0,Lactococcus,Lactococcus
s029469,non-EBF,Streptococcus,0,Streptococcus,Streptococcus
s029469,non-EBF,[Clostridium]_innocuum_group,2,[Clostridium]_innocuum_group,[Clostridium]_inn...
s029469,non-EBF,[Ruminococcus]_gnavugroup,14,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s024464,non-EBF,Bifidobacterium,60,Bifidobacterium,Bifidobacterium
s024464,non-EBF,Blautia,0,Blautia,Blautia
s024464,non-EBF,Enterococcus,3,Enterococcus,Enterococcus
s024464,non-EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s024464,non-EBF,Lactococcus,0,Lactococcus,Lactococcus
s024464,non-EBF,Streptococcus,0,Streptococcus,Streptococcus
s024464,non-EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s024464,non-EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s026905,EBF,Bifidobacterium,60,Bifidobacterium,Bifidobacterium
s026905,EBF,Blautia,1,Blautia,Blautia
s026905,EBF,Enterococcus,1,Enterococcus,Enterococcus
s026905,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s026905,EBF,Lactococcus,0,Lactococcus,Lactococcus
s026905,EBF,Streptococcus,10,Streptococcus,Streptococcus
s026905,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s026905,EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s026517,EBF,Bifidobacterium,60,Bifidobacterium,Bifidobacterium
s026517,EBF,Blautia,0,Blautia,Blautia
s026517,EBF,Enterococcus,30,Enterococcus,Enterococcus
s026517,EBF,Intestinibacter,2,Intestinibacter,Intestinibacter
s026517,EBF,Lactococcus,0,Lactococcus,Lactococcus
s026517,EBF,Streptococcus,60,Streptococcus,Streptococcus
s026517,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s026517,EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s029830,non-EBF,Bifidobacterium,61,Bifidobacterium,Bifidobacterium
s029830,non-EBF,Blautia,2,Blautia,Blautia
s029830,non-EBF,Enterococcus,12,Enterococcus,Enterococcus
s029830,non-EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s029830,non-EBF,Lactococcus,0,Lactococcus,Lactococcus
s029830,non-EBF,Streptococcus,125,Streptococcus,Streptococcus
s029830,non-EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s029830,non-EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s026017,EBF,Bifidobacterium,57,Bifidobacterium,Bifidobacterium
s026017,EBF,Blautia,0,Blautia,Blautia
