SampleID,delta_k
s026027,0.0014746960413338373
s029708,6.097214497779249e-4
s022539,0.001986564220117908
s022619,0.0012120921369955765
s024048,0.0012077294213554144
s026690,0.0017600982026139448
s028844,0.0011227939459268928
s023768,0.001978750475345249
s026947,0.004568129220855081
s022961,0.0025116329089136004
s024015,0.0013433594268689826
s025796,0.0015135778800463959
s027138,0.001564535304815242
s021416,0.0013235187208538066
s024289,0.0010687258959995436
s024979,0.0017034400384768771
s023663,0.0016844257596170028
s021942,9.442020579845464e-4
s026100,0.0016859481902377512
s021746,0.0019632954447218443
s026873,0.002328708984269422
s029002,0.0012305120838243743
s029378,0.0021663867490052703
s021477,0.001690765735479095
s026890,0.0021098867218766497
s027497,0.0015927067163786152
s026296,0.0015149542482890087
s028913,0.0018635954777549042
s023405,0.0014449548416647776
s029243,0.001518379232119017
s029454,0.0013572281653231836
s024564,0.0014379434683164495
s027827,0.0015431078930644865
s024573,0.0021805205190098174
s029273,0.0014437106186501506
s021113,0.001154039159735888
s025904,0.004261591416973206
s026357,0.0013670498939749496
s028985,0.002058169499821455
s029040,0.003300987249189841
s029408,0.0014381682823814467
s028383,0.0020220613740008003
s026223,0.001758169837655879
s027880,0.0018989465651394512
s021813,0.002019449804102942
s027755,0.0011012014909050109
s025981,0.0040637943291344444
s021056,0.0029991228293671365
s026125,0.002248270138317566
s029625,0.0017010574580710806
s028623,0.0016444072559845507
s029761,0.0014709356689264351
s022346,0.002064958598057903
s027000,0.001973893436705611
s021637,0.002172345907086788
s023696,0.0014756587961393848
s025963,0.001632432662995311
s025106,0.001609174406093017
s022223,0.0011573164413126557
s022950,0.0011296492409883755
s024408,0.0020195486910768745
s026036,0.001378431924563511
s024750,0.001313480754333899
s029046,8.799603350736129e-4
s023605,0.001548506830119365
s028165,0.002000995879065269
s024952,0.0016246942652122498
s024474,0.0030462673540147724
s021136,0.0018988079642307436
s022053,0.0021922484873296275
s028766,0.0013878030467744122
s029550,0.0021658953294837364
s026308,0.0024436147071424334
s022526,0.002585440129631168
s025708,0.0024197472359165765
s029423,0.0012724353168133203
s023174,0.001864710337035427
s021700,0.0027427320593623452
s029467,0.002455426492483579
s027840,0.0013446730550627783
s029842,0.0011079185687733414
s027533,0.0018471823784155749
s023996,0.0015511747680662124
s028378,0.002030622691053867
s023127,0.0013517493536048429
s025030,9.78570406987505e-4
s024351,0.0012386337076541647
s027322,0.0019843983036149262
s024526,0.0024590880960716787
s025335,0.0014487246609911019
s021252,0.0022220157413220458
s024241,0.0012595295818765995
s021560,0.0023077170157367742
s024921,0.0015571298661744288
s023444,0.0012076165904388115
s028962,0.0026994977444633134
s026885,0.001853887535195174
s026803,0.0013468924810562174
s027391,0.0023406635513027775
s029872,0.0015372247771430108
s024895,0.001953578116788933
s023437,0.001629576967596411
s028115,0.0015487621657510023
s022881,0.0018462967211665738
s027498,0.001377239928256745
s024887,0.0022762012671913127
s024519,0.0014796657527817766
s022013,0.0016144490177427487
s023483,9.08709534019068e-4
s026673,0.0017987277349623405
s027097,0.0015562152768594443
s022415,0.0015960476569142595
s028996,8.943833297982082e-4
s027395,0.002235646641940048
s022987,0.001205154941567628
s029623,0.0014403761204809166
s028453,0.0010447302149939127
s026021,0.0015409045820672662
s024244,0.0023902176437422297
s023611,0.0018260748837975122
s025768,0.0014760171603392922
s021659,0.002270774953338093
s025565,0.00163058318102905
s028792,0.0035229690608340265
s025371,0.0025002941371761564
s024689,0.0035608614415872236
s028308,0.0015564328426035368
s021455,0.0020913894126797596
s028397,0.0018558623738799374
s025429,0.0015406589523401118
s027298,0.0016307427100343667
s028953,9.83731284051885e-4
s024510,0.0019047452614991145
s023951,0.0022845361347227327
s025786,0.001346225581809351
s028309,0.0021125927519073675
s022226,0.0016223640963649926
s025295,0.0017943296014506342
s023868,0.001826425659262261
s028370,0.0018514491682984065
s023515,0.0017638038523528055
s023968,0.002029202663292945
s028058,0.001425544055941872
s023674,0.0020465950261769296
s029851,0.003427346559465103
s027992,0.0011241747412602172
s027321,0.0019464130512576784
s025226,0.001311860963759317
s022543,0.0015784013127731415
s025420,0.0016009153807855
s026616,0.0021608885688741445
s023910,0.0017733794658925846
s022949,0.0016524252145942962
s027645,0.0018300894452517227
s021784,0.0013314760844462944
s024509,0.001552359694604761
s026634,0.0014145958423532547
s026354,0.0015622938282787362
